[[0, 1, 2, 4, 0], 18.673290263258917, 0.10911154747009277, 0]
[[0, 0, 1, 3, 0], 4.790132236447168, 0.17981839179992676, 0]
[[0, 2, 3, 5, 0], 16.048994217116533, 0.11409950256347656, 0]
[[1, 3, 0, 1, 2], 1.1510872302155446, 0.0915684700012207, 0]
[[1, 3, 0, 0, 1], 1.0026477150531496, 0.17963695526123047, 0]
[[1, 3, 0, 2, 3], 1.1483034862184163, 0.18218064308166504, 0]
[[3, 5, 0, 1, 2], 1.1256036644570933, 0.13620734214782715, 0]
[[3, 5, 0, 0, 1], 1.1173218990347227, 0.18018317222595215, 0]
[[3, 5, 0, 2, 3], 1.4320610832641039, 0.26561903953552246, 0]
[[2, 4, 0, 1, 2], 72.09197536928957, 0.14049410820007324, 0]
[[2, 4, 0, 0, 1], 1.0462372726780536, 0.13980793952941895, 0]
[[2, 4, 0, 2, 3], 1.035664543604894, 0.12839722633361816, 0]
