[[0, 1, 2, 4, 0], 1.0521164564887369, 0.49655675888061523, 0]
[[0, 0, 1, 3, 0], 1.0013786746233413, 0.5939264297485352, 0]
[[0, 2, 3, 5, 0], 1.0209663777116162, 0.4935424327850342, 0]
[[1, 3, 0, 1, 2], 1.0529168684270294, 0.5636913776397705, 0]
[[1, 3, 0, 0, 1], 1.0097702530103683, 0.6276938915252686, 0]
[[1, 3, 0, 2, 3], 1.0232560640326502, 0.6066768169403076, 0]
[[3, 5, 0, 1, 2], 1.007335844284091, 0.5290729999542236, 0]
[[3, 5, 0, 0, 1], 1.0005380401685045, 0.6092252731323242, 0]
[[3, 5, 0, 2, 3], 1.0052313660146774, 0.6535370349884033, 0]
[[2, 4, 0, 1, 2], 1.0117984250933845, 0.5235044956207275, 0]
[[2, 4, 0, 0, 1], 1.0105686928129698, 0.5559511184692383, 0]
[[2, 4, 0, 2, 3], 1.0345245412471185, 0.5299091339111328, 0]
