[[0, 0, 1, 1, 0], 1.0326436391853913, 0.06254696846008301, 0]
[[0, 2, 2, 3, 0], 1.1347087123529207, 0.05655670166015625, 0]
[[0, 4, 3, 5, 0], 1.0934953377186007, 0.06270718574523926, 0]
[[0, 6, 4, 7, 0], 1.1849304361419253, 0.057885169982910156, 0]
[[1, 1, 0, 0, 1], 1.110573653352315, 0.05147123336791992, 0]
[[1, 1, 0, 2, 2], 1.3150919984221476, 0.05162477493286133, 0]
[[1, 1, 0, 4, 3], 1.063721873336276, 0.055853843688964844, 0]
[[1, 1, 0, 6, 4], 1.0676273482080272, 0.05608105659484863, 0]
[[2, 3, 0, 0, 1], 1.1686553961260564, 0.05690336227416992, 0]
[[2, 3, 0, 2, 2], 1.0391476042983159, 0.05672645568847656, 0]
[[2, 3, 0, 4, 3], 1.1565695371486386, 0.05555605888366699, 0]
[[2, 3, 0, 6, 4], 1.1355322735492623, 0.05755257606506348, 0]
[[3, 5, 0, 0, 1], 1.0206138347041749, 0.06225919723510742, 0]
[[3, 5, 0, 2, 2], 1.0967060483602402, 0.06660676002502441, 0]
[[3, 5, 0, 4, 3], 1.0635851491485153, 0.06235551834106445, 0]
[[3, 5, 0, 6, 4], 1.4223089791225503, 0.05998992919921875, 0]
[[4, 7, 0, 0, 1], 1.0535676438474557, 0.06317424774169922, 0]
[[4, 7, 0, 2, 2], 1.002793452436189, 0.05900430679321289, 0]
[[4, 7, 0, 4, 3], 1.349047542956797, 0.06819558143615723, 0]
[[4, 7, 0, 6, 4], 1.3504915370998583, 0.06170916557312012, 0]
