[[0, 0, 1, 1, 0], 1.00326927965117, 0.5015463829040527, 0]
[[0, 2, 2, 3, 0], 1.064606652105767, 0.4679090976715088, 0]
[[0, 4, 3, 5, 0], 1.0084779974483704, 0.5280616283416748, 0]
[[1, 1, 0, 0, 1], 1.0004763772468133, 0.48743247985839844, 0]
[[1, 1, 0, 2, 2], 1.0033921445280347, 0.4927546977996826, 0]
[[1, 1, 0, 4, 3], 1.0029320378226685, 0.5163578987121582, 0]
[[2, 3, 0, 0, 1], 1.0002664066070155, 0.4962162971496582, 0]
[[2, 3, 0, 2, 2], 1.0019468516427348, 0.4701106548309326, 0]
[[2, 3, 0, 4, 3], 1.0075121884985767, 0.5141828060150146, 0]
[[3, 5, 0, 0, 1], 1.0028212470914506, 0.48560166358947754, 0]
[[3, 5, 0, 2, 2], 1.0014219525074852, 0.5580005645751953, 0]
[[3, 5, 0, 4, 3], 1.0031991419759607, 0.5397839546203613, 0]
