[[0, 0, 1, 1, 0], 1.0696196559078478813, 0.11423635482788086, 0]
[[0, 2, 2, 3, 0], 1.180515908654365262, 0.05554008483886719, 0]
[[0, 4, 3, 5, 0], 1.2832733076626931994, 0.07279419898986816, 0]
[[1, 1, 0, 0, 1], 1.2990420092856006409, 0.060887813568115234, 0]
[[1, 1, 0, 2, 2], 1.0811820158114571973, 0.058428049087524414, 0]
[[1, 1, 0, 4, 3], 1.0445287531798824092, 0.06760358810424805, 0]
[[2, 3, 0, 0, 1], 1.0811820158114571973, 0.06057381629943848, 0]
[[2, 3, 0, 2, 2], 1.188809385017636351, 0.06557416915893555, 0]
[[2, 3, 0, 4, 3], 1.0310083811396539838, 0.06486034393310547, 0]
[[3, 5, 0, 0, 1], 1.0445287531798824092, 0.07236099243164062, 0]
[[3, 5, 0, 2, 2], 1.0310083811396539838, 0.06701016426086426, 0]
[[3, 5, 0, 4, 3], 1.1141598249998402924, 0.07857227325439453, 0]
